# Project GenCode Backend - Function Analysis

Total Functions: 795

## Module: `agents\sub_agents.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
| 281 | `SelfHealingManager._repair_backend_vertical` | LOOP CONSOLIDATION: Single adaptive attempt for backend vertical repair. | 2 | orchestration\self_healing_manager.py |
| 359 | `SelfHealingManager._calculate_adaptive_tokens` | Calculate tokens based on error complexity, not retry count. | 1 | orchestration\self_healing_manager.py |
| 403 | `SelfHealingManager._derek_generate_backend` | Call Derek (supervised agent) to generate backend vertical. | 2 | orchestration\contract_expansion.py, orchestration\self_healing_manager.py |
| 662 | `SelfHealingManager._build_test_feedback_context` | PHASE 2: Build test failure context for Derek. | 1 | orchestration\self_healing_manager.py |
| 686 | `SelfHealingManager._parse_test_failures` | PHASE 2: Parse test output to extract specific failure reasons. | 1 | orchestration\self_healing_manager.py |
| 712 | `SelfHealingManager._validate_backend_can_start` | FIX: Sandbox-aware backend validation with comprehensive route testing. | 1 | orchestration\self_healing_manager.py |
| 809 | `SelfHealingManager._ensure_router_wired` | Ensure router is wired in main.py (idempotent). | 1 | orchestration\self_healing_manager.py |
| 893 | `SelfHealingManager._ensure_model_wired` | Ensure model is imported and registered in document_models list in main.py. | 0 | - |
| 966 | `SelfHealingManager._repair_frontend_api` | Repair the frontend API client using LLM or fallback template. | 1 | orchestration\self_healing_manager.py |
| 1002 | `SelfHealingManager._repair_backend_main` | Repair backend main.py - reads actual routers and db function. | 1 | orchestration\self_healing_manager.py |
| 1029 | `SelfHealingManager._repair_backend_db` | Repair backend/app/db.py - optional wrapper for legacy compatibility. | 1 | orchestration\self_healing_manager.py |
| 1075 | `SelfHealingManager._get_router_prompt` | Generate a dynamic router prompt based on actual entity. | 1 | orchestration\self_healing_manager.py |
| 1100 | `SelfHealingManager._get_api_prompt` | Generate a dynamic API client prompt based on actual entity. | 1 | orchestration\self_healing_manager.py |
| 1124 | `SelfHealingManager._get_main_template` | Generate a DYNAMIC main.py template based on actual workspace contents. | 1 | orchestration\self_healing_manager.py |
| 1204 | `SelfHealingManager._write_file` | Write content to file, creating directories as needed. | 8 | orchestration\self_healing_manager.py |
| 1209 | `SelfHealingManager._read_file` | Read file content, return None if not found. | 0 | - |

## Module: `orchestration\state.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 23 | `WorkflowStateManager.get_session` | Get or create session. | 7 | orchestration\state.py |
| 32 | `WorkflowStateManager.is_running` | Check if a workflow is running for a project. | 3 | api\workspace.py, utils\entity_discovery.py |
| 38 | `WorkflowStateManager.set_running` | Set the running state for a project. | 0 | - |
| 46 | `WorkflowStateManager.try_start_workflow` | Atomically check if workflow can start and mark it as running. | 4 | api\workspace.py, workflow\engine.py |
| 62 | `WorkflowStateManager.stop_workflow` | Atomically mark workflow as stopped. | 3 | orchestration\fast_orchestrator.py, workflow\engine.py |
| 71 | `WorkflowStateManager.is_paused` | Check if a workflow is paused for a project. | 2 | api\workspace.py |
| 77 | `WorkflowStateManager.get_paused_state` | Get the paused workflow state. | 1 | workflow\engine.py |
| 83 | `WorkflowStateManager.pause_workflow` | Pause a workflow for user input. State is persisted to DB. | 1 | workflow\engine.py |
| 112 | `WorkflowStateManager.resume_workflow` | Resume a paused workflow, returning the saved state and cleaning up. | 1 | workflow\engine.py |
| 127 | `WorkflowStateManager.set_intent` | Store analyzed intent for a project. | 4 | handlers\analysis.py, handlers\refine.py |
| 134 | `WorkflowStateManager.get_intent` | Get stored intent for a project. | 13 | handlers\architecture.py, handlers\backend.py (+10 more) |
| 140 | `WorkflowStateManager.set_original_request` | Store original user request. | 2 | handlers\analysis.py |
| 147 | `WorkflowStateManager.get_original_request` | Get original user request. | 0 | - |
| 153 | `WorkflowStateManager.set_manager` | Store connection manager (Memory only). | 0 | - |
| 158 | `WorkflowStateManager.get_manager` | Get connection manager. | 0 | - |
| 163 | `WorkflowStateManager.cleanup` | Clean up state (stop running, unpause). Does NOT clear completed_steps for resume. | 1 | api\workspace.py |
| 179 | `WorkflowStateManager.save_completed_step` | Save a completed step to MongoDB for resume support. | 1 | orchestration\fast_orchestrator.py |
| 198 | `WorkflowStateManager.get_completed_steps` | Get list of completed steps for a project. | 3 | api\workspace.py, orchestration\fast_orchestrator.py |
| 204 | `WorkflowStateManager.get_step_context` | Get saved step context for resume. | 0 | - |
| 210 | `WorkflowStateManager.get_current_step` | Get last completed step. | 1 | api\workspace.py |
| 216 | `WorkflowStateManager.clear_progress` | Clear all progress for a fresh start. | 2 | api\workspace.py |
| 227 | `WorkflowStateManager.has_progress` | Check if project has any saved progress. | 3 | api\workspace.py, workflow\engine.py |
| 233 | `WorkflowStateManager.acquire_lock` | No description available | 0 | - |
| 237 | `WorkflowStateManager.release_lock` | No description available | 0 | - |

## Module: `orchestration\step_contracts.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 79 | `StepContracts.requires_files` | Get required file paths/directories for a step. | 0 | - |
| 83 | `StepContracts.requires_content` | Get required content patterns for a step. | 2 | orchestration\step_contracts.py |
| 87 | `StepContracts.check_content` | Check if text contains all required patterns for a step. | 0 | - |
| 94 | `StepContracts.get_missing_content` | Get list of missing content patterns. | 0 | - |

## Module: `orchestration\structural_compiler.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 25 | `StructuralCompiler.__init__` | No description available | 0 | - |
| 31 | `StructuralCompiler.validate_python` | No description available | 1 | orchestration\structural_compiler.py |
| 38 | `StructuralCompiler.get_python_errors` | Get Python syntax error details. | 0 | - |
| 49 | `StructuralCompiler.validate_js` | No description available | 1 | orchestration\structural_compiler.py |
| 105 | `StructuralCompiler.router_is_complete` | Check if router has all required CRUD operations. | 2 | orchestration\fast_orchestrator.py, orchestration\self_healing_manager.py |
| 122 | `StructuralCompiler.get_missing_router_functions` | Get list of missing CRUD operations. | 0 | - |
| 138 | `StructuralCompiler.api_is_complete` | Check if API client has all required exports for the entity. | 2 | orchestration\fast_orchestrator.py, orchestration\self_healing_manager.py |
| 165 | `StructuralCompiler.get_missing_api_exports` | Get list of missing API exports. | 0 | - |
| 192 | `StructuralCompiler._balanced_brackets` | No description available | 3 | orchestration\llm_output_integrity.py, orchestration\structural_compiler.py |
| 226 | `StructuralCompiler.validate_file_structure` | Validate file structure based on extension (brackets, basic syntax). | 0 | - |

## Module: `orchestration\task_graph.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 21 | `TaskGraph.__init__` | No description available | 0 | - |
| 56 | `TaskGraph.get_steps` | Get the ordered list of all workflow steps. | 5 | orchestration\fast_orchestrator.py |
| 60 | `TaskGraph.required_for` | Get the dependencies required for a step. | 2 | orchestration\task_graph.py |
| 64 | `TaskGraph.is_ready` | Check if all dependencies for a step are satisfied. | 2 | orchestration\fast_orchestrator.py, orchestration\task_graph.py |
| 69 | `TaskGraph.get_blocking` | Get the dependencies that are NOT yet completed. | 1 | orchestration\fast_orchestrator.py |
| 74 | `TaskGraph.get_dependents` | Get all steps that depend on this step. | 0 | - |
| 82 | `TaskGraph.get_parallel_batch` | Get all steps that can run in parallel right now. | 0 | - |

## Module: `orchestration\token_policy.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 137 | `get_tokens_for_step` | Get appropriate token allocation for a workflow step. | 5 | agents\sub_agents.py, handlers\analysis.py (+3 more) |
| 208 | `get_step_description` | Get human-readable description of a workflow step. | 0 | - |
| 215 | `get_all_policies` | Get all token policies (for debugging/monitoring). | 0 | - |
| 257 | `get_temperature` | Get appropriate temperature for a workflow step. | 1 | orchestration\token_policy.py |
| 301 | `get_retry_parameters` | Get adjusted parameters for retry attempts. | 0 | - |

## Module: `orchestration\utils.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 11 | `broadcast_to_project` | Broadcast a message to all clients connected to a project. | 15 | agents\sub_agents.py, api\workspace.py (+6 more) |
| 31 | `pluralize` | Simple English pluralization helper. | 12 | handlers\contracts.py, handlers\frontend_mock.py (+3 more) |

## Module: `orchestration\wiring_utils.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 25 | `_safe_write_validated_python` | Apply the SAME validation gate as LLM output: | 2 | orchestration\wiring_utils.py |
| 49 | `wire_router` | Ensure router is wired in main.py (idempotent). | 2 | handlers\backend.py, orchestration\self_healing_manager.py |
| 133 | `wire_model` | Ensure model is imported AND registered in document_models list in main.py. | 2 | handlers\backend.py, orchestration\self_healing_manager.py |

## Module: `persistence\filesystem.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 32 | `sanitize_project_id` | Normalize project IDs for safe filesystem use. | 2 | persistence\filesystem.py, persistence\writer.py |
| 40 | `get_safe_workspace_path` | Build a safe, absolute project workspace path under base_path. | 4 | persistence\filesystem.py, persistence\writer.py |
| 69 | `within_workspace` | No description available | 1 | persistence\filesystem.py |
| 81 | `read_file_content` | Read a text file asynchronously. | 0 | - |
| 86 | `write_file_content` | Write text content to a file asynchronously, ensuring parent directory exists. | 1 | persistence\filesystem.py |
| 93 | `write_file_content_sync` | Write text content to a file synchronously, ensuring parent directory exists. | 0 | - |
| 108 | `save_generated_files` | Save a batch of generated files relative to the project root. | 0 | - |
| 129 | `get_project_file_tree` | ✅ UPDATED: Build a recursive file tree for the given project. | 0 | - |
| 140 | `_read_dir_recursive` | ✅ UPDATED: Recursively read directory structure, returning FileTreeEntry. | 2 | persistence\filesystem.py |

## Module: `persistence\validator.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 12 | `normalize_python_filename` | Normalize Python filenames for Linux/Docker compatibility. | 1 | persistence\validator.py |
| 56 | `fix_path_prefix` | Auto-fix common path prefix issues. | 1 | persistence\validator.py |
| 95 | `validate_jsx_completeness` | Basic validation that JSX has balanced tags. | 1 | persistence\validator.py |
| 125 | `validate_file_output` | Validate and sanitize agent output before writing. | 8 | handlers\architecture.py, handlers\backend.py (+5 more) |

## Module: `persistence\writer.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 16 | `safe_write_llm_files` | Safely write LLM-generated files to the workspace. | 1 | persistence\writer.py |
| 172 | `persist_agent_output` | Wrapper for safe_write_llm_files to handle standard agent response dict. | 0 | - |

## Module: `sandbox\health_monitor.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 16 | `HealthMonitor.__init__` | No description available | 0 | - |
| 20 | `HealthMonitor.wait_for_healthy` | Wait for all containers to become healthy, based on Docker's healthcheck. | 1 | sandbox\sandbox_manager.py |
| 60 | `HealthMonitor._check_container_health` | Check if a specific container is healthy. | 1 | sandbox\health_monitor.py |
| 104 | `HealthMonitor._check_http_health` | Perform actual HTTP health check to the backend /api/health endpoint. | 2 | sandbox\health_monitor.py |
| 147 | `HealthMonitor._inspect_container_state` | Run `docker inspect` and return the .State dict, or None on failure. | 2 | sandbox\health_monitor.py |
| 172 | `HealthMonitor.get_detailed_health` | Get detailed health information for all containers. | 0 | - |

## Module: `sandbox\log_streamer.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 17 | `LogStreamer.__init__` | No description available | 0 | - |
| 22 | `LogStreamer._stream_logs_from_cli` | Internal helper: run `docker logs -f` on the container and forward | 1 | sandbox\log_streamer.py |
| 75 | `LogStreamer.start_streaming` | Start streaming logs for a container. | 0 | - |
| 92 | `LogStreamer.stop_streaming` | Stop a log stream, if running. | 1 | sandbox\log_streamer.py |
| 107 | `LogStreamer.stop_all_streams` | Stop all active log streams. | 0 | - |

## Module: `sandbox\pool.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 47 | `SandboxPool.__init__` | No description available | 0 | - |
| 57 | `SandboxPool.initialize` | Initialize the pool with pre-warmed containers. | 1 | sandbox\pool.py |
| 87 | `SandboxPool.acquire` | Acquire a sandbox for a project. | 1 | orchestration\state.py |
| 124 | `SandboxPool.release` | Release a sandbox back to the pool or stop it. | 1 | orchestration\state.py |
| 155 | `SandboxPool.shutdown` | Shutdown the pool and all containers. | 0 | - |
| 171 | `SandboxPool.stats` | Get pool statistics. | 0 | - |
| 181 | `SandboxPool._maintain_pool` | Background task to maintain pool size. | 1 | sandbox\pool.py |
| 193 | `SandboxPool._refill_pool` | Refill the pool to maintain target size. | 3 | sandbox\pool.py |
| 205 | `SandboxPool._warm_container` | Create and warm a new container. | 1 | sandbox\pool.py |
| 242 | `SandboxPool._create_on_demand` | Fallback: Create sandbox on-demand using existing SandboxManager. | 1 | sandbox\pool.py |
| 272 | `SandboxPool._is_healthy` | Check if a sandbox container is healthy. | 1 | sandbox\pool.py |
| 278 | `SandboxPool._stop_sandbox` | Stop a sandbox container. | 2 | sandbox\pool.py |
| 286 | `SandboxPool._sandbox_to_dict` | Convert PooledSandbox to dict. | 2 | sandbox\pool.py |
| 302 | `get_sandbox_pool` | Get the global sandbox pool instance. | 1 | sandbox\pool.py |
| 310 | `initialize_pool` | Initialize the sandbox pool on app startup. | 0 | - |

## Module: `sandbox\preview_manager.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 12 | `PreviewManager.__init__` | No description available | 0 | - |
| 15 | `PreviewManager.create_preview` | Return Traefik preview URL (no tunnel needed) | 0 | - |
| 37 | `PreviewManager.stop_preview` | Stop a preview (optional - Traefik continues routing) | 0 | - |
| 54 | `PreviewManager.list_previews` | List all active preview URLs | 0 | - |

## Module: `sandbox\sandbox_config.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 40 | `SandboxConfig.to_dict` | Convert config to dictionary | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 60 | `SandboxConfig.from_dict` | Create config from dictionary | 2 | utils\entity_discovery.py |

## Module: `sandbox\sandbox_manager.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 23 | `SandboxManager.__init__` | No description available | 0 | - |
| 37 | `SandboxManager.get_status` | No description available | 3 | orchestration\healing_budget.py, tools\implementations.py |
| 50 | `SandboxManager.create_sandbox` | No description available | 2 | sandbox\pool.py, tools\implementations.py |
| 91 | `SandboxManager.start_sandbox` | Start Docker-based backend/frontend containers for a project. | 3 | tools\implementations.py |
| 174 | `SandboxManager.stop_sandbox` | Stop Docker containers for this sandbox. | 2 | sandbox\sandbox_manager.py, tools\implementations.py |
| 206 | `SandboxManager.destroy_sandbox` | Stop containers and remove sandbox metadata. | 0 | - |
| 228 | `SandboxManager.run_backend_tests` | Run backend tests using Docker Compose. | 0 | - |
| 275 | `SandboxManager.run_frontend_tests` | Run frontend tests (Playwright) using Docker Compose. | 0 | - |
| 325 | `SandboxManager._run_compose_command` | No description available | 5 | sandbox\sandbox_manager.py |
| 367 | `SandboxManager._get_compose_logs` | No description available | 1 | sandbox\sandbox_manager.py |
| 378 | `SandboxManager._validate_project_structure` | Ensure golden backend/frontend/docker files exist before we start containers | 4 | sandbox\sandbox_manager.py |
| 410 | `SandboxManager._get_compose_command` | No description available | 1 | sandbox\sandbox_manager.py |
| 429 | `SandboxManager._get_project_containers_async` | Async version of _get_project_containers. | 0 | - |
| 473 | `SandboxManager._get_project_containers` | No description available | 1 | sandbox\sandbox_manager.py |
| 520 | `SandboxManager.execute_command` | Execute a command inside a service container (Docker) - async version. | 2 | sandbox\sandbox_manager.py, tools\implementations.py |
| 576 | `SandboxManager.exec_in_container` | Alias for execute_command (API compatibility). | 0 | - |
| 586 | `SandboxManager.get_preview_url` | Get the frontend preview URL for a running sandbox. | 0 | - |
| 616 | `SandboxManager.get_backend_url` | Get the backend API URL for a running sandbox (dynamic port detection). | 0 | - |

## Module: `supervision\quality_gate.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 24 | `check_quality_gate` | Check if workflow should be blocked due to quality issues. | 1 | supervision\supervisor.py |
| 75 | `override_quality_gate` | Allow user to override quality gate. | 0 | - |
| 81 | `is_blocked` | Check if project is blocked by quality gate. | 0 | - |
| 86 | `get_block_reason` | Get the reason for quality gate block. | 0 | - |

## Module: `supervision\supervisor.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 26 | `marcus_supervise` | Marcus reviews an agent's output for quality and correctness. | 1 | supervision\supervisor.py |
| 429 | `categorize_issue_severity` | Categorize Marcus's issues into 'critical' or 'warning' using Universal Attention. | 1 | supervision\supervisor.py |
| 452 | `postprocess_marcus_issues` | Split issues into critical (must fix) and warnings (nice-to-have). | 1 | supervision\supervisor.py |
| 473 | `_extract_archetype` | Extract an archetype identifier from the user request. | 2 | supervision\supervisor.py |
| 512 | `supervised_agent_call` | Call an agent with Marcus supervision. | 0 | - |

## Module: `supervision\tiered_review.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 72 | `get_review_level` | Determine the review level needed for a file. | 2 | supervision\supervisor.py, supervision\tiered_review.py |
| 104 | `classify_files` | Classify files by their review level. | 2 | supervision\tiered_review.py |
| 124 | `get_review_summary` | Get a summary of review levels for logging. | 1 | supervision\tiered_review.py |
| 137 | `tiered_review` | Apply tiered review to a list of files. | 1 | supervision\tiered_review.py |
| 254 | `parallel_tiered_review` | Run tiered reviews in parallel for multiple agent outputs. | 0 | - |

## Module: `tools\implementations.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 51 | `_async_run_command` | Run a command asynchronously using asyncio.to_thread + subprocess.run. | 7 | tools\implementations.py |
| 161 | `tool_sub_agent_caller` | Call Marcus → Derek/Victoria/Luna sub-agents and normalize their | 0 | - |
| 318 | `tool_file_writer_batch` | Write multiple files at once to a base path. | 0 | - |
| 343 | `tool_file_reader` | Read a single file. | 0 | - |
| 367 | `tool_file_deleter` | Delete a file or directory tree. | 0 | - |
| 390 | `tool_file_lister` | List files recursively or non-recursively. | 0 | - |
| 416 | `tool_code_viewer` | Return file contents with some metadata, used for in-UI preview. | 0 | - |
| 444 | `tool_bash_runner` | Run a shell command with timeout (async, non-blocking). | 0 | - |
| 459 | `tool_python_executor` | Execute a snippet of Python code in a temp file (async, non-blocking). | 0 | - |
| 482 | `tool_npm_runner` | Run an npm command, e.g. 'install', 'run build', etc. (async, non-blocking). | 0 | - |
| 500 | `tool_pytest_runner` | Run pytest in a given directory (async, non-blocking). | 0 | - |
| 520 | `tool_playwright_runner` | Run Playwright E2E tests (async, non-blocking). | 0 | - |
| 534 | `tool_test_generator` | Generate simple pytest or Playwright test template. | 0 | - |
| 570 | `tool_sandbox_exec` | Execute a command inside a sandbox container using real Python calls. | 1 | tools\implementations.py |
| 769 | `validate_deployment` | Validate both frontend and backend deployments. | 1 | tools\implementations.py |
| 809 | `tool_deployment_validator` | Tool wrapper for validate_deployment. | 0 | - |
| 826 | `tool_key_validator` | Check presence of important API keys. | 0 | - |
| 845 | `tool_cross_llm_validator` | Stub cross-LLM consistency validator (can be extended later). | 0 | - |
| 853 | `tool_syntax_validator` | Validate Python / basic JS/TS syntax. | 0 | - |
| 885 | `tool_ux_visualizer` | Take a Playwright screenshot of the frontend. | 0 | - |
| 911 | `tool_screenshot_comparer` | Compare two screenshots pixel-by-pixel. | 0 | - |
| 937 | `tool_api_tester` | Perform a simple HTTP API call (GET or POST). | 0 | - |
| 972 | `tool_web_researcher` | Basic stub for web research (no external API yet). | 0 | - |
| 983 | `tool_health_checker` | Hit a health endpoint and return status. | 0 | - |
| 1003 | `tool_user_confirmer` | Ask user a question (auto-answers with first option in non-interactive mode). | 0 | - |
| 1017 | `tool_user_prompter` | Prompt the user for input (returns default in non-interactive mode). | 0 | - |
| 1033 | `tool_db_schema_reader` | No description available | 0 | - |
| 1043 | `tool_db_query_runner` | No description available | 0 | - |
| 1058 | `tool_docker_builder` | Build a Docker image using docker CLI (async, non-blocking). | 0 | - |
| 1074 | `tool_vercel_deployer` | Deploy a project using `vercel --prod` (async, non-blocking). | 0 | - |
| 1089 | `tool_unified_patch_applier` | No description available | 0 | - |
| 1113 | `tool_json_patch_applier` | No description available | 0 | - |
| 1202 | `_run_tool_impl` | No description available | 1 | tools\registry.py |
| 1229 | `_validate_singleton` | No description available | 1 | tools\implementations.py |

## Module: `tools\patching.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 16 | `apply_unified_patch` | Apply a unified diff patch to the workspace. | 1 | tools\implementations.py |
| 41 | `_split_into_file_patches` | Split a full multi-file unified diff into file-level diffs. | 1 | tools\patching.py |
| 60 | `_apply_single_file_patch` | Apply unified diff to a single file. | 1 | tools\patching.py |
| 112 | `_apply_hunks` | Apply each @@ hunk to file content. | 1 | tools\patching.py |
| 163 | `PatchEngine.apply_patches` | Applies LLM patches (JSON-based) across multiple files. | 1 | tools\implementations.py |

## Module: `tools\registry.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 15 | `register_tools` | No description available | 1 | main.py |
| 20 | `get_tool` | No description available | 0 | - |
| 24 | `get_tools_for_step` | No description available | 1 | tools\tool_policy.py |
| 262 | `get_available_tools` | Return list of available tool names dynamically. | 0 | - |
| 267 | `run_tool` | Execute a tool by name. | 0 | - |
| 273 | `get_relevant_tools_for_query` | Select tools using V!=K Attention with strict Context constraints. | 1 | agents\sub_agents.py |
| 390 | `_get_standard_tools` | Return only the essential tools. | 3 | tools\registry.py |
| 398 | `_ensure_essentials` | Ensure essential tools are present in the list. | 1 | tools\registry.py |

## Module: `tools\tool_policy.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 13 | `filter_by_environment` | CHANGE I: Pre-filter tools by environment constraints. | 1 | tools\tool_policy.py |
| 58 | `allowed_tools_for_step` | Get allowed tools for a step, optionally filtered by environment. | 1 | tools\registry.py |

## Module: `tracking\memory.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 15 | `PersistentMemoryStore.__init__` | No description available | 0 | - |
| 23 | `PersistentMemoryStore._init_db` | Initialize SQLite database schema | 4 | learning\failure_store.py, learning\pattern_store.py (+2 more) |
| 48 | `PersistentMemoryStore.save_memory` | Save a memory entry | 1 | tracking\memory.py |
| 78 | `PersistentMemoryStore.recall_patterns` | Recall successful patterns for an agent/step | 1 | tracking\memory.py |
| 110 | `get_store` | No description available | 2 | tracking\memory.py |
| 118 | `remember_success` | Remember a successful pattern. | 1 | supervision\supervisor.py |
| 143 | `recall_patterns` | Recall successful patterns (convenience wrapper). | 1 | tracking\memory.py |
| 159 | `get_memory_hint` | Get a hint from memory to include in agent instructions. | 2 | agents\sub_agents.py, supervision\supervisor.py |

## Module: `tracking\metrics.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 11 | `update_code_metrics` | Update code metrics for generated files. | 0 | - |
| 43 | `get_code_metrics` | Get code metrics for a project. | 0 | - |

## Module: `tracking\quality.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 11 | `track_quality_score` | Track quality score for an agent. | 2 | supervision\supervisor.py |
| 27 | `get_quality_summary` | Get average quality scores per agent. | 0 | - |

## Module: `utils\component_copier.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 33 | `get_used_components` | Scan frontend source files for @/components/ui/* imports. | 1 | utils\component_copier.py |
| 69 | `get_all_required_components` | Expand component set to include dependencies. | 1 | utils\component_copier.py |
| 84 | `copy_used_components` | Copy only the used Shadcn components to the project. | 1 | handlers\frontend_mock.py |
| 144 | `copy_component_by_name` | Copy a single component by name (for on-demand copying). | 0 | - |

## Module: `utils\dependency_fixer.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 11 | `detect_missing_dependencies` | Parse pytest/pip error output to detect missing dependencies. | 1 | utils\dependency_fixer.py |
| 56 | `_module_to_package` | Convert Python module name to pip package name. | 2 | utils\dependency_fixer.py |
| 91 | `add_dependencies_to_requirements` | Add missing dependencies to requirements.txt. | 1 | utils\dependency_fixer.py |
| 170 | `auto_fix_backend_dependencies` | Automatically detect and fix missing backend dependencies. | 0 | - |

## Module: `utils\entity_classification.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 17 | `classify_entities_from_mock` | Dynamically classify entities from mock.js structure. | 1 | utils\entity_classification.py |
| 100 | `classify_entities_from_contracts` | Dynamically classify entities from contracts.md endpoint structure. | 1 | utils\entity_classification.py |
| 160 | `merge_classifications` | Merge classifications from multiple sources. | 1 | utils\entity_classification.py |
| 196 | `classify_project_entities` | Main entry point: Classify all entities in a project. | 1 | handlers\contracts.py |

## Module: `utils\entity_discovery.py`

| Line | Function Name | Purpose (Docstring) | Usage Count | Used In (Sample) |
|------|---------------|---------------------|-------------|------------------|
| 34 | `Field.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 55 | `Relationship.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 77 | `EntitySpec.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 89 | `EntitySpec.from_dict` | Create EntitySpec from dictionary. | 2 | utils\entity_discovery.py |
| 110 | `EntityPlan.to_dict` | No description available | 10 | arbormind\t_am_operators.py, core\types.py (+4 more) |
| 118 | `EntityPlan.from_dict` | Create EntityPlan from dictionary. | 2 | utils\entity_discovery.py |
| 128 | `EntityPlan.save` | Save entity plan to JSON file. | 18 | api\deployment.py, handlers\contracts.py (+3 more) |
| 135 | `EntityPlan.load` | Load entity plan from JSON file. | 6 | handlers\backend.py, handlers\backend_models.py (+3 more) |
| 145 | `clear_discovery_cache` | Clear the entity discovery cache for a project. | 1 | handlers\contracts.py |
| 167 | `discover_primary_entity` | Discover the primary entity from project artifacts. | 17 | handlers\backend.py, handlers\contracts.py (+9 more) |
| 231 | `_extract_from_contracts` | Extract entity from contracts.md API endpoints. | 1 | utils\entity_discovery.py |
| 262 | `_extract_from_architecture` | No description available | 0 | - |
| 276 | `_extract_from_models` | Extract entity from models.py Document class definitions. | 1 | utils\entity_discovery.py |
| 310 | `extract_all_models_from_models_py` | Extract ALL Beanie Document model class names that ACTUALLY EXIST in models.py. | 12 | handlers\frontend_integration.py, handlers\testing_backend.py (+6 more) |
| 362 | `extract_document_models_only` | Extract ONLY aggregate Document models (excludes embedded BaseModel classes). | 1 | handlers\backend.py |
| 428 | `_extract_from_mock` | No description available | 0 | - |
